iter	Passed	Remaining
0	57	57094
1	57	28682
2	57	19209
3	58	14481
4	58	11644
5	58	9754
6	59	8398
7	59	7376
8	59	6580
9	60	5942
10	60	5420
11	60	4990
12	60	4619
13	61	4306
14	61	4035
15	61	3795
16	61	3583
17	62	3395
18	62	3227
19	62	3076
20	63	2939
21	63	2815
22	63	2701
23	63	2597
24	64	2500
25	64	2410
26	64	2327
27	64	2251
28	65	2181
29	65	2116
30	65	2052
31	65	1993
32	66	1938
33	66	1887
34	66	1838
35	66	1792
36	67	1748
37	67	1707
38	67	1668
39	68	1632
40	68	1598
41	68	1566
42	69	1536
43	69	1507
44	69	1479
45	70	1453
46	70	1425
47	70	1399
48	70	1375
49	71	1351
50	71	1328
51	71	1305
52	71	1284
53	72	1264
54	72	1244
55	72	1225
56	72	1206
57	73	1188
58	73	1171
59	73	1154
60	73	1138
61	74	1122
62	74	1107
63	74	1092
64	74	1077
65	75	1063
66	75	1049
67	75	1036
68	75	1024
69	76	1011
70	76	999
71	76	987
72	76	976
73	77	965
74	77	954
75	77	943
76	77	933
77	78	923
78	78	913
79	78	904
80	78	894
81	79	885
82	79	874
83	79	865
84	79	857
85	79	848
86	80	840
87	80	833
88	80	825
89	80	818
90	81	811
91	81	804
92	81	797
93	82	790
94	82	783
95	82	776
96	82	770
97	83	771
98	84	767
99	84	761
100	84	755
101	85	749
102	85	743
103	85	738
104	85	732
105	86	727
106	86	722
107	86	716
108	86	711
109	87	705
110	87	701
111	87	697
112	88	692
113	88	688
114	88	684
115	89	680
116	89	675
117	89	670
118	90	666
119	90	662
120	90	657
121	90	653
122	91	648
123	91	645
124	91	640
125	91	637
126	92	632
127	92	629
128	92	625
129	92	622
130	93	618
131	93	614
132	93	611
133	94	607
134	94	604
135	94	602
136	95	599
137	95	598
138	96	595
139	96	593
140	96	590
141	97	586
142	97	583
143	97	580
144	97	577
145	98	574
146	98	571
147	98	568
148	99	565
149	99	562
150	99	559
151	99	557
152	100	554
153	100	551
154	100	548
155	101	549
156	101	547
157	102	544
158	102	542
159	102	540
160	103	537
161	103	535
162	103	532
163	104	534
164	105	532
165	105	529
166	105	527
167	105	524
168	106	522
169	106	519
170	106	517
171	107	515
172	107	512
173	107	511
174	107	508
175	108	506
176	108	504
177	108	502
178	109	501
179	109	500
180	110	499
181	111	499
182	111	498
183	111	496
184	112	495
185	112	494
